clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,screened,314,50.0,7,5,0.7142857142857143,0.8171428571428573,0.20382165605095542,0.20382165605095542,0.20382165605095542,0.7961783439490446,1,torque_limited,0.06
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,screened,115,50.0,3,2,0.6666666666666666,0.7066666666666667,0.1565217391304348,0.1565217391304348,0.1565217391304348,0.6173913043478261,1,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D15_-_switch_stance_poses_120_jpos,screened,153,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D16_-_switch_stance_and_bounce_poses_120_jpos,screened,245,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D5_-_ready_to_walk_away_poses_120_jpos,screened,223,50.0,5,4,0.8,0.9739130434782609,0.013452914798206279,0.013452914798206279,0.013452914798206279,0.9865470852017937,1,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E16_-_block_right_middle_poses_120_jpos,screened,125,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E17_-_block_middle_high_poses_120_jpos,screened,127,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E1_-_Turn_around_right_poses_120_jpos,screened,718,50.0,15,15,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E2_-_Turn_around_left_poses_120_jpos,screened,654,50.0,14,14,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E3_-_advance_poses_120_jpos,screened,318,50.0,7,6,0.8571428571428571,0.9971428571428572,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.9968553459119497,1,torque_limited,0.06
BMLhandball_S02_Novice_Trial_upper_left_012_poses_120_jpos,screened,338,50.0,7,7,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLhandball_S05_Novice_Trial_upper_left_061_poses_120_jpos,screened,265,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLhandball_S05_Novice_Trial_upper_left_right_007_poses_120_jpos,screened,347,50.0,7,5,0.7142857142857143,0.7685714285714286,0.069164265129683,0.069164265129683,0.069164265129683,0.7665706051873199,4,torque_limited,0.06
BMLhandball_S05_Novice_Trial_upper_left_right_013_poses_120_jpos,screened,345,50.0,7,6,0.8571428571428571,0.9914285714285713,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.991304347826087,1,torque_limited,0.06
BMLhandball_S06_Novice_Trial_upper_left_right_123_poses_120_jpos,screened,543,50.0,11,9,0.8181818181818182,0.9363636363636364,0.06445672191528545,0.06445672191528545,0.06445672191528545,0.9355432780847146,1,torque_limited,0.06
BMLhandball_S06_Novice_Trial_upper_right_217_poses_120_jpos,screened,411,50.0,9,8,0.8888888888888888,0.9755555555555557,0.0267639902676399,0.0267639902676399,0.0267639902676399,0.9732360097323601,1,torque_limited,0.06
