source,clip,frame,time_s,lowest_geom_clearance_m,geometry_airborne
CNRS,CNRS_283_03_L_2,0,0.0,0.024228999539531754,0
CNRS,CNRS_283_03_L_2,1,0.02,0.02336948120167092,0
CNRS,CNRS_283_03_L_2,2,0.04,0.0164204032618896,0
CNRS,CNRS_283_03_L_2,3,0.06,0.015751742222776095,0
CNRS,CNRS_283_03_L_2,4,0.08,0.01645092163391914,0
CNRS,CNRS_283_03_L_2,5,0.1,0.018746008129363098,0
CNRS,CNRS_283_03_L_2,6,0.12,0.022992271790051463,0
CNRS,CNRS_283_03_L_2,7,0.14,0.019952273496535645,0
CNRS,CNRS_283_03_L_2,8,0.16,0.015386121568070269,0
CNRS,CNRS_283_03_L_2,9,0.18,0.010291389731301353,0
CNRS,CNRS_283_03_L_2,10,0.2,0.00929041124751659,0
CNRS,CNRS_283_03_L_2,11,0.22,0.012791788689378017,0
CNRS,CNRS_283_03_L_2,12,0.24,0.01782603160474773,0
CNRS,CNRS_283_03_L_2,13,0.26,0.020027227426966006,0
CNRS,CNRS_283_03_L_2,14,0.28,0.020690524205273807,0
CNRS,CNRS_283_03_L_2,15,0.3,0.019260049822239757,0
CNRS,CNRS_283_03_L_2,16,0.32,0.017142576611224918,0
CNRS,CNRS_283_03_L_2,17,0.34,0.015443638868814629,0
CNRS,CNRS_283_03_L_2,18,0.36,0.013528357598275588,0
CNRS,CNRS_283_03_L_2,19,0.38,0.011059638091047408,0
CNRS,CNRS_283_03_L_2,20,0.4,0.00801393308006469,0
CNRS,CNRS_283_03_L_2,21,0.42,0.005670619565566892,0
CNRS,CNRS_283_03_L_2,22,0.44,0.003309417639449662,0
CNRS,CNRS_283_03_L_2,23,0.46,0.001296586193409872,0
CNRS,CNRS_283_03_L_2,24,0.48,-0.00020048668542797972,0
CNRS,CNRS_283_03_L_2,25,0.5,-0.0013554352964971223,0
CNRS,CNRS_283_03_L_2,26,0.52,-0.0008067427055880611,0
CNRS,CNRS_283_03_L_2,27,0.54,0.0004899623217115949,0
CNRS,CNRS_283_03_L_2,28,0.56,0.0012774554445325326,0
CNRS,CNRS_283_03_L_2,29,0.58,0.0024134465254990536,0
CNRS,CNRS_283_03_L_2,30,0.6,0.0005590609522161151,0
CNRS,CNRS_283_03_L_2,31,0.62,0.0005424809527338741,0
CNRS,CNRS_283_03_L_2,32,0.64,-3.12859039927945e-05,0
CNRS,CNRS_283_03_L_2,33,0.66,0.0010946254844602325,0
CNRS,CNRS_283_03_L_2,34,0.68,0.004124693802510885,0
CNRS,CNRS_283_03_L_2,35,0.7,0.016850355198538967,0
CNRS,CNRS_283_03_L_2,36,0.72,0.033245871332756895,0
CNRS,CNRS_283_03_L_2,37,0.74,0.05219253906380977,0
CNRS,CNRS_283_03_L_2,38,0.76,0.05034903365162756,0
CNRS,CNRS_283_03_L_2,39,0.78,0.048764409044278985,0
CNRS,CNRS_283_03_L_2,40,0.8,0.04811493047953102,0
CNRS,CNRS_283_03_L_2,41,0.82,0.047899769812807434,0
CNRS,CNRS_283_03_L_2,42,0.84,0.04757477274472719,0
CNRS,CNRS_283_03_L_2,43,0.86,0.047128993009782585,0
CNRS,CNRS_283_03_L_2,44,0.88,0.04520541955203624,0
CNRS,CNRS_283_03_L_2,45,0.9,0.04338763260836281,0
CNRS,CNRS_283_03_L_2,46,0.92,0.04316902707060875,0
CNRS,CNRS_283_03_L_2,47,0.94,0.043119779050001826,0
CNRS,CNRS_283_03_L_2,48,0.96,0.04294695296202257,0
CNRS,CNRS_283_03_L_2,49,0.98,0.03773786816473848,0
CNRS,CNRS_283_03_L_2,50,1.0,0.030409793127167704,0
CNRS,CNRS_283_03_L_2,51,1.02,0.027474127756482135,0
CNRS,CNRS_283_03_L_2,52,1.04,0.023789145158238156,0
CNRS,CNRS_283_03_L_2,53,1.06,0.019003041727247427,0
CNRS,CNRS_283_03_L_2,54,1.08,0.01790244712634218,0
CNRS,CNRS_283_03_L_2,55,1.1,0.022774998400750222,0
CNRS,CNRS_283_03_L_2,56,1.12,0.02957821204831048,0
CNRS,CNRS_283_03_L_2,57,1.14,0.035844421115074354,0
CNRS,CNRS_283_03_L_2,58,1.16,0.03871989117440147,0
CNRS,CNRS_283_03_L_2,59,1.18,0.03935942647510952,0
CNRS,CNRS_283_03_L_2,60,1.2,0.03915252904871885,0
CNRS,CNRS_283_03_L_2,61,1.22,0.037518693699577416,0
CNRS,CNRS_283_03_L_2,62,1.24,0.035869152111182155,0
CNRS,CNRS_283_03_L_2,63,1.26,0.034345114961004335,0
CNRS,CNRS_283_03_L_2,64,1.28,0.032666057964656554,0
CNRS,CNRS_283_03_L_2,65,1.3,0.031007592129431327,0
CNRS,CNRS_283_03_L_2,66,1.32,0.029773534408651978,0
CNRS,CNRS_283_03_L_2,67,1.34,0.028084823824380913,0
CNRS,CNRS_283_03_L_2,68,1.36,0.026680536753689733,0
CNRS,CNRS_283_03_L_2,69,1.38,0.025873176583998236,0
CNRS,CNRS_283_03_L_2,70,1.4,0.025031900255734457,0
CNRS,CNRS_283_03_L_2,71,1.42,0.024560842796768845,0
CNRS,CNRS_283_03_L_2,72,1.44,0.024131782259915774,0
CNRS,CNRS_283_03_L_2,73,1.46,0.023168249144243105,0
CNRS,CNRS_283_03_L_2,74,1.48,0.02337060544733189,0
CNRS,CNRS_283_03_L_2,75,1.5,0.023945818435100102,0
CNRS,CNRS_283_03_L_2,76,1.52,0.024253485269899497,0
CNRS,CNRS_283_03_L_2,77,1.54,0.0247918797611242,0
CNRS,CNRS_283_03_L_2,78,1.56,0.025467167952472745,0
CNRS,CNRS_283_03_L_2,79,1.58,0.0255412042814639,0
CNRS,CNRS_283_03_L_2,80,1.6,0.02606047706767898,0
CNRS,CNRS_283_03_L_2,81,1.62,0.02802619424365039,0
CNRS,CNRS_283_03_L_2,82,1.64,0.03380080096144796,0
CNRS,CNRS_283_03_L_2,83,1.66,0.043746443101169395,0
CNRS,CNRS_283_03_L_2,84,1.68,0.05548628048407008,0
CNRS,CNRS_283_03_L_2,85,1.7,0.05725525671803123,0
CNRS,CNRS_283_03_L_2,86,1.72,0.05625159832784799,0
CNRS,CNRS_283_03_L_2,87,1.74,0.056476692013382006,0
CNRS,CNRS_283_03_L_2,88,1.76,0.057383212823683215,0
CNRS,CNRS_283_03_L_2,89,1.78,0.05803994538549765,0
CNRS,CNRS_283_03_L_2,90,1.8,0.058521495816787276,0
CNRS,CNRS_283_03_L_2,91,1.82,0.05889665796390533,0
CNRS,CNRS_283_03_L_2,92,1.84,0.0587920104091298,0
CNRS,CNRS_283_03_L_2,93,1.86,0.05788518409938296,0
CNRS,CNRS_283_03_L_2,94,1.88,0.057153409475122575,0
CNRS,CNRS_283_03_L_2,95,1.9,0.05617481637727272,0
CNRS,CNRS_283_03_L_2,96,1.92,0.05566633956909662,0
CNRS,CNRS_283_03_L_2,97,1.94,0.05473403365965069,0
CNRS,CNRS_283_03_L_2,98,1.96,0.04511861120977444,0
CNRS,CNRS_283_03_L_2,99,1.98,0.03854075363514806,0
CNRS,CNRS_283_03_L_2,100,2.0,0.03407761374269173,0
CNRS,CNRS_283_03_L_2,101,2.02,0.030630816440252936,0
CNRS,CNRS_283_03_L_2,102,2.04,0.026713035428669797,0
CNRS,CNRS_283_03_L_2,103,2.06,0.022883241621139243,0
CNRS,CNRS_283_03_L_2,104,2.08,0.02145158575829898,0
CNRS,CNRS_283_03_L_2,105,2.1,0.02107057394909568,0
CNRS,CNRS_283_03_L_2,106,2.12,0.022093740385290488,0
CNRS,CNRS_283_03_L_2,107,2.14,0.023688101019869755,0
CNRS,CNRS_283_03_L_2,108,2.16,0.024639539283455726,0
CNRS,CNRS_283_03_L_2,109,2.18,0.024291543278457346,0
CNRS,CNRS_283_03_L_2,110,2.2,0.023482187718578587,0
CNRS,CNRS_283_03_L_2,111,2.22,0.021758037150939546,0
CNRS,CNRS_283_03_L_2,112,2.24,0.020476073631761904,0
CNRS,CNRS_283_03_L_2,113,2.26,0.018972247184837206,0
CNRS,CNRS_283_03_L_2,114,2.28,0.019266467580094912,0
CNRS,CNRS_283_03_L_2,115,2.3,0.01965963967149193,0
CNRS,CNRS_283_03_L_2,116,2.32,0.02044166032791008,0
CNRS,CNRS_283_03_L_2,117,2.34,0.020933383199212036,0
