clip,stratum,reference_difficulty_score,required_mu_p95,vert_force_bw_max,contact_switch_rate,flight_phase_frac,nonfoot_ground_frac,angmom_peak,support_margin_mean
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,feasible_hard_reference,0.731866180946,0.893318269852,0.640332472563,0.187459651388,0.974015493867,0.491930277598,0.962395093609,0.973612007747
BMLhandball_S08_Novice_Trial_upper_left_069_poses_120_jpos,feasible_remainder,0.473900212118,0.340703679793,0.222724338283,0.302533892834,0.553986442866,0.491930277598,0.838605551969,0.566817301485
BMLhandball_S09_Novice_Trial_upper_right_left_091_poses_120_jpos,feasible_hard_reference,0.696198007931,0.759522272434,0.480874757908,0.56028082634,0.725871530019,0.491930277598,0.955293737895,0.899612653325
BMLmovi_Subject_47_F_MoSh_Subject_47_F_2_poses_120_jpos,feasible_remainder,0.238022226321,0.25080697224,0.141220142027,0.627340219496,0.0966752743706,0.491930277598,0.0400258231117,0.0181568754035
BMLmovi_Subject_70_F_MoSh_Subject_70_F_15_poses_120_jpos,feasible_hard_reference,0.637888499493,0.664622336992,0.383311814074,0.912282117495,0.608295674629,0.491930277598,0.850871530019,0.553905745642
CMU_118_118_14_poses_120_jpos,feasible_hard_reference,0.734725168311,0.976920593932,0.990800516462,0.292930923176,0.827388637831,0.491930277598,0.787120723047,0.775984506133
CMU_132_132_48_poses_120_jpos,feasible_remainder,0.383980448215,0.241204002582,0.425112976114,0.754357650097,0.19795029051,0.491930277598,0.330374435119,0.246933505487
CMU_141_141_11_poses_60_jpos,feasible_hard_reference,0.768802453196,0.965622982569,0.918495803744,0.665752098128,0.770819883796,0.491930277598,0.812943834732,0.756052291801
CMU_143_143_34_poses_60_jpos,feasible_remainder,0.549824771742,0.493624919303,0.783812136862,0.396061975468,0.686249193028,0.491930277598,0.424467398321,0.572627501614
CMU_26_26_05_poses_120_jpos,feasible_remainder,0.463294291248,0.206746287928,0.202550032279,0.598127824403,0.558182698515,0.491930277598,0.660587475791,0.524935442221
CMU_55_55_05_poses_120_jpos,feasible_hard_reference,0.831803928802,0.989509360878,0.976920593932,0.999515816656,0.817947062621,0.491930277598,0.74838605552,0.798418334409
CMU_62_62_18_poses_60_jpos,feasible_remainder,0.464631559531,0.452065848935,0.381052291801,0.490639122014,0.609748224661,0.491930277598,0.237895416398,0.589089735313
CMU_62_62_20_poses_60_jpos,feasible_hard_reference,0.645646961173,0.482730794061,0.675597159458,0.460458360232,0.890574564235,0.491930277598,0.649935442221,0.868302130407
CMU_79_79_12_poses_60_jpos,feasible_remainder,0.155780226874,0.130568108457,0.109183344093,0.0499515816656,0.0966752743706,0.491930277598,0.0505164622337,0.161636539703
CMU_79_79_62_poses_60_jpos,feasible_remainder,0.434842755695,0.506052291801,0.188589412524,0.899451258877,0.0966752743706,0.491930277598,0.642995480955,0.218205293738
CMU_80_80_25_poses_60_jpos,feasible_remainder,0.190583786775,0.138637830859,0.0917527437056,0.0499515816656,0.0966752743706,0.491930277598,0.231923821821,0.233214977405
CMU_83_83_66_poses_120_jpos,feasible_remainder,0.365420086692,0.229260813428,0.398079406068,0.570206584893,0.368544222079,0.491930277598,0.227566171724,0.272353131052
