clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,screened,148,50.0,3,0,0.0,0.0,0.2905405405405405,0.2905405405405405,0.2905405405405405,0.0,2,torque_limited,0.06
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,screened,226,50.0,5,2,0.4,0.6123076923076923,0.05309734513274336,0.05309734513274336,0.05309734513274336,0.6283185840707964,5,torque_limited,0.06
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,screened,100,50.0,2,1,0.5,0.8400000000000001,0.03,0.03,0.03,0.84,2,torque_limited,0.06
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,screened,193,50.0,4,1,0.25,0.5249999999999999,0.10880829015544041,0.10880829015544041,0.10880829015544041,0.5440414507772021,7,torque_limited,0.06
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,screened,193,50.0,4,1,0.25,0.5249999999999999,0.10880829015544041,0.10880829015544041,0.10880829015544041,0.5440414507772021,7,torque_limited,0.06
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,screened,178,50.0,4,1,0.25,0.48,0.15168539325842698,0.15168539325842698,0.15168539325842698,0.5393258426966292,6,torque_limited,0.06
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,screened,322,50.0,7,1,0.14285714285714285,0.4257142857142857,0.19254658385093168,0.19254658385093168,0.19254658385093168,0.46273291925465837,6,torque_limited,0.06
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,screened,228,50.0,5,2,0.4,0.8208571428571428,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8552631578947368,5,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,screened,212,50.0,5,2,0.4,0.476,0.2688679245283019,0.2688679245283019,0.2688679245283019,0.38207547169811323,7,torque_limited,0.06
ACCAD_s011_walkdog_poses_120_jpos,screened,815,50.0,17,11,0.6470588235294118,0.8058823529411764,0.06257668711656442,0.06257668711656442,0.06257668711656442,0.8404907975460123,11,torque_limited,0.06
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,screened,666,50.0,14,13,0.9285714285714286,0.9442857142857142,0.012012012012012012,0.012012012012012012,0.012012012012012012,0.9414414414414415,3,torque_limited,0.06
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,screened,369,50.0,8,2,0.25,0.3575,0.23577235772357724,0.24661246612466126,0.24661246612466126,0.3035230352303523,9,torque_limited,0.06
BMLmovi_Subject_34_F_MoSh_Subject_34_F_9_poses_120_jpos,screened,349,50.0,7,4,0.5714285714285714,0.7942857142857143,0.025787965616045846,0.025787965616045846,0.025787965616045846,0.7936962750716332,4,torque_limited,0.06
BMLmovi_Subject_3_F_MoSh_Subject_3_F_10_poses_120_jpos,screened,164,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,screened,224,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_3_F_MoSh_Subject_3_F_20_poses_120_jpos,screened,149,50.0,3,1,0.3333333333333333,0.56,0.08053691275167785,0.08053691275167785,0.08053691275167785,0.5570469798657718,2,torque_limited,0.06
BMLmovi_Subject_45_F_MoSh_Subject_45_F_5_poses_120_jpos,screened,167,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_47_F_MoSh_Subject_47_F_10_poses_120_jpos,screened,397,50.0,8,7,0.875,0.995,0.005037783375314861,0.005037783375314861,0.005037783375314861,0.9949622166246851,1,torque_limited,0.06
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,screened,300,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_58_F_MoSh_Subject_58_F_1_poses_120_jpos,screened,272,50.0,6,5,0.8333333333333334,0.9633333333333334,0.011029411764705883,0.014705882352941176,0.014705882352941176,0.9595588235294118,3,torque_limited,0.06
BMLmovi_Subject_5_F_MoSh_Subject_5_F_12_poses_120_jpos,screened,230,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_5_F_MoSh_Subject_5_F_6_poses_120_jpos,screened,175,50.0,4,3,0.75,0.905,0.0,0.005714285714285714,0.005714285714285714,0.8914285714285715,1,torque_limited,0.06
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,screened,499,50.0,10,7,0.7,0.7979999999999999,0.13026052104208416,0.13026052104208416,0.13026052104208416,0.7975951903807615,2,torque_limited,0.06
BMLmovi_Subject_6_F_MoSh_Subject_6_F_13_poses_120_jpos,screened,149,50.0,3,2,0.6666666666666666,0.9933333333333333,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.9932885906040269,1,torque_limited,0.06
BMLmovi_Subject_6_F_MoSh_Subject_6_F_19_poses_120_jpos,screened,345,50.0,7,7,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_76_F_MoSh_Subject_76_F_7_poses_120_jpos,screened,204,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_81_F_MoSh_Subject_81_F_20_poses_120_jpos,screened,322,50.0,7,7,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,screened,197,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_8_F_MoSh_Subject_8_F_8_poses_120_jpos,screened,220,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_108_108_15_poses_120_jpos,screened,148,50.0,3,1,0.3333333333333333,0.5133333333333333,0.07432432432432433,0.07432432432432433,0.07432432432432433,0.5202702702702703,4,torque_limited,0.06
CMU_108_108_24_poses_120_jpos,screened,221,50.0,5,0,0.0,0.0,0.28054298642533937,0.28054298642533937,0.28054298642533937,0.0,6,torque_limited,0.06
CMU_118_118_19_poses_120_jpos,screened,255,50.0,6,4,0.6666666666666666,0.9633333333333333,0.03137254901960784,0.03137254901960784,0.03137254901960784,0.9568627450980393,2,torque_limited,0.06
CMU_127_127_10_poses_120_jpos,screened,70,50.0,2,0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.0,5,torque_limited,0.06
CMU_127_127_15_poses_120_jpos,screened,68,50.0,2,0,0.0,0.0,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.0,3,torque_limited,0.06
CMU_127_127_16_poses_120_jpos,screened,108,50.0,3,0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,4,torque_limited,0.06
CMU_131_131_01_poses_120_jpos,screened,414,50.0,9,3,0.3333333333333333,0.6177777777777779,0.2584541062801932,0.2584541062801932,0.2584541062801932,0.5845410628019324,7,torque_limited,0.06
CMU_135_135_02_poses_120_jpos,screened,2168,50.0,44,11,0.25,0.5181818181818182,0.2878228782287823,0.29289667896678967,0.29289667896678967,0.511070110701107,57,torque_limited,0.06
CMU_18_19_Justin_18_04_poses_120_jpos,screened,169,50.0,4,0,0.0,0.0,0.24260355029585798,0.24260355029585798,0.24260355029585798,0.0,12,torque_limited,0.06
